对话代码类别,唯一代码,作用和策略,举例子
"IB—Invite to build on ideas
邀请补充发展想法",IB,请他人详细阐述、构建、澄清、评价或改进自身或别人的想法,"“你有什么要补充的”
“什么？”
“说来听听”
“你能把这个复述一下吗？”
“你觉得呢？”
“你同意吗？”"
"B—Build on ideas
补充发展想法",B,构建、详细阐述、澄清或评价自己或他人在之前对话交流或者其他话语贡献中发展而来的想法,"“还有”
“这让我想到了”
“我是说”
“她的意思是”
“他的意思是”
"
"CH—Challenge
质疑",CH,质疑、不同意或挑战一个想法,"“我不同意”
“但是”
“你确定……吗？”
“……不同的想法”"
"IRE—Invite reasoning
邀请推理论证",IRE,请他人解释、论证和/或使用与自己或他人想法相关的可能性思考,"“为什么？”
“怎样？”
“你认为呢？”
“深入说明一下”"
"R—Make reasoning explicit
进行明确的推理论证",R,解释、论证和/或使用与自己或他人想法相关的可能性思考,"“我认为”
“因为”
“如此一来”
“因此”
“以便”
“如果……，那么……”
“就像是”
“想象一下，如果……”
“可能”"
"CA—Coordination of ideas and activity
想法上的协调和同意",CA,对比并综合想法，表示赞同和共识，邀请协调/综合想法,"“我同意”
“总而言之……”
“这样，我们都认为……”
“总结一下”
“相似和不同”
"
C—Connect联系,C,把当前对话以外的贡献/知识/经历联系起来，以使学习路径变得明确,"“上一节课”
“之前”
“让我想到了”
“下一堂课”
“关于”
“在你的家里”"
"RD—Reflect on dialogue or activity
反思对话或活动",RD,评估并“元认知化地”反思对话或学习活动的过程，邀请其他人也这样做,"“对话”
“谈话”
“分享”
“在小组中或成对合作”
“任务”
“活动”
“你学到了什么”
“我改变了想法”"
"G—Guide direction of dialogue or activity
导向对话或活动的方向",G,负责引导活动或将对话集中朝向一个理想的方向发展，或使用其他支架策略来支持对话或学习,"“……怎么样”
“集中”
“将精力集中于”
“让我们试试看”
“不着急”
“你有没有想过……？”"
"E—Express or invite ideas
表达或请他人提出想法",E,提供或请他人提出相关看法，以发起或深入一个对话（未被其他类别所涵盖的）,"“你认为……怎么样？”
“告诉我”
“你的想法”
“我的观点是”
“你的想法”"